201801;water;14
201801;g_produce;130.82
201801;g_meats;51.34
201801;g_additives;38.26
201801;g_junk_foods;16.49
201801;groceries;236.91
201801;alcohol;86.20
201801;eating_out;28.96
201802;water;16.00
201802;g_produce;143.26
201802;g_meats;45.19
201802;g_additives;15.25
201802;g_junk_foods;22.60
201802;groceries;226.30
201802;alcohol;52.58
201802;eating_out;49.80
201803;water;20
201803;g_produce;157.78
201803;g_meats;56.68
201803;g_additives;12.20
201803;g_junk_foods;36.20
201803;groceries;262.86
201803;alcohol;55.85
201803;eating_out;22.57
201804;water;18
201804;g_produce;121.50
201804;g_meats;68.90
201804;g_additives;8.75
201804;g_junk_foods;22.23
201804;groceries;221.38
201804;alcohol;34.62
201804;eating_out;64.49
201805;water;15
201805;g_produce;128.53
201805;g_meats;44.61
201805;g_additives;18.99
201805;g_junk_foods;16.50
201805;groceries;208.63
201805;alcohol;55.99
201805;eating_out;75.80
201806;water;14
201806;g_produce;148.20
201806;g_meats;32.70
201806;g_additives;4.99
201806;g_junk_foods;15.20
201806;groceries;201.09
201806;alcohol;63.87
201806;eating_out;111.62
201807;water;15
201807;g_produce;156.33
201807;g_meats;49.27
201807;g_additives;8.0
201807;g_junk_foods;20.18
201807;groceries;233.78
201807;alcohol;72.20
201807;eating_out;86.51
201808;water;18
201808;g_produce;172.85
201808;g_meats;50.49
201808;g_additives;4.99
201808;g_junk_foods;13.50
201808;groceries;241.83
201808;alcohol;42.46
201808;eating_out;28.57
201809;water;20
201809;g_produce;160.16
201809;g_meats;41.98
201809;g_additives;7.99
201809;g_junk_foods;15
201809;groceries;225.13
201809;alcohol;13.98
201809;eating_out;35.80
201810;water;18
201810;g_produce;185.90
201810;g_meats;62.24
201810;g_additives;23.46
201810;g_junk_foods;30.79
201810;groceries;302.39
201810;alcohol;77.25
201810;eating_out;15.50
